net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Endinet,871688700000002681,Buizerd,5508KC,5508KC,VELDHOVEN,14,92.86,100.0,64,1x35,3390,7.14,7.14
Endinet,871688700000002681,Hertgang,5508LC,5508LR,VELDHOVEN,43,100.0,100.0,93,1x35,2942,2.33,0.0
Endinet,871688700000002681,Strijpsebaan,5508RA,5508RB,VELDHOVEN,37,91.89,100.0,73,3x25,6115,21.62,16.22
Endinet,871688700000002681,Blauwven,5508RC,5508RC,VELDHOVEN,53,98.11,100.0,51,1x35,4029,7.55,3.77
Endinet,871688700000002681,Blauwven,5508RD,5508RD,VELDHOVEN,39,100.0,100.0,67,1x35,3715,10.26,5.13
Endinet,871688700000002681,Boomven,5508RE,5508RG,VELDHOVEN,17,70.59,100.0,94,3x25,6162,41.18,35.29
Endinet,871688700000002681,Hoefven,5508RH,5508RJ,VELDHOVEN,20,80.0,100.0,85,3x25,6059,30.0,25.0
Endinet,871688700000002681,Regenboogven,5508RK,5508RK,VELDHOVEN,64,96.88,100.0,84,1x35,2768,7.81,6.25
Endinet,871688700000002681,Turfven,5508RL,5508RM,VELDHOVEN,36,77.78,100.0,81,3x25,5288,25.0,22.22
Endinet,871688700000002681,Zandven,5508RN,5508RP,VELDHOVEN,30,96.67,100.0,70,3x25,5991,16.67,13.33
Endinet,871688700000002681,Libel,5508SB,5508SB,VELDHOVEN,44,100.0,100.0,75,1x35,3557,0.0,0.0
Endinet,871688700000002681,Libel,5508SC,5508SC,VELDHOVEN,15,93.33,100.0,53,3x25,3348,13.33,6.67
Endinet,871688700000002681,Vlinder,5508SE,5508SE,VELDHOVEN,19,100.0,100.0,63,1x35,3408,10.53,5.26
Endinet,871688700000002681,Eekhoorn,5508SG,5508SG,VELDHOVEN,27,100.0,100.0,96,1x35,1914,0.0,0.0
Endinet,871688700000002681,Ree,5508SJ,5508SJ,VELDHOVEN,22,100.0,100.0,77,1x35,2690,4.55,4.55
Endinet,871688700000002681,Haas,5508SK,5508SK,VELDHOVEN,19,100.0,100.0,84,1x35,3422,0.0,0.0
Endinet,871688700000002681,Smelen,5508SL,5508SL,VELDHOVEN,22,100.0,100.0,86,1x35,2898,31.82,4.55
Endinet,871688700000002681,Smelen,5508SM,5508SM,VELDHOVEN,18,100.0,100.0,83,1x35,3101,11.11,11.11
Endinet,871688700000002681,Sint Jorisstraat,5509LA,5509RA,VELDHOVEN,14,100.0,92.86,57,1x35,9320,7.14,0.0
Endinet,871688700000002681,Ree,5509RB,5509RB,VELDHOVEN,36,94.44,100.0,92,1x35,3586,13.89,13.89
Endinet,871688700000002681,Ree,5509RC,5509RC,VELDHOVEN,34,100.0,97.06,88,1x35,3370,52.94,50.0
Endinet,871688700000002681,Ree,5509RD,5509RD,VELDHOVEN,25,100.0,100.0,96,1x35,3302,100.0,100.0
Endinet,871688700000002681,Ree,5509RE,5509RE,VELDHOVEN,12,100.0,66.67,67,3x25,4604,75.0,41.67
Endinet,871688700000002681,Vos,5509RG,5509RG,VELDHOVEN,44,100.0,100.0,68,1x35,3260,43.18,43.18
Endinet,871688700000002681,Vos,5509RH,5509RK,VELDHOVEN,36,97.22,77.78,75,1x35,3164,47.22,25.0
Endinet,871688700000002681,Smelen,5509RL,5509RL,VELDHOVEN,28,100.0,100.0,43,3x25,2879,35.71,35.71
Endinet,871688700000002681,Egel,5509RM,5509RM,VELDHOVEN,24,79.17,66.67,54,3x25,4538,95.83,62.5
Endinet,871688700000002681,Sterrenlaan,5531KA,5611AB,EINDHOVEN,17,100.0,88.24,47,3x25,14705,41.18,17.65
Endinet,871688700000002681,Stationsplein,5611AC,5611AC,EINDHOVEN,19,100.0,78.95,32,1x35,17705,63.16,47.37
Endinet,871688700000002681,Neckerspoel,5611AD,5611AH,EINDHOVEN,29,100.0,93.1,52,3x25,19105,24.14,10.34
Endinet,871688700000002681,Hermanus Boexstraat,5611AJ,5611AJ,EINDHOVEN,11,100.0,90.91,45,3x63,24497,45.45,36.36
Endinet,871688700000002681,Volderhof,5611AK,5611AK,EINDHOVEN,26,100.0,96.15,65,1x35,4053,46.15,46.15
Endinet,871688700000002681,P Cnz Hooftlaan,5611AL,5611AL,EINDHOVEN,11,100.0,81.82,36,3x50,24055,45.45,18.18
Endinet,871688700000002681,Nieuwe Emmasingel,5611AM,5611AM,EINDHOVEN,117,100.0,95.73,38,1x35,10187,50.43,48.72
Endinet,871688700000002681,Demer,5611AN,5611AR,EINDHOVEN,27,100.0,96.3,26,3x35,43073,55.56,33.33
Endinet,871688700000002681,Demer,5611AS,5611AS,EINDHOVEN,12,100.0,100.0,33,3x63,38095,75.0,58.33
Endinet,871688700000002681,Vrijstraat,5611AT,5611AT,EINDHOVEN,10,100.0,100.0,50,3x25,27392,30.0,30.0
Endinet,871688700000002681,Vrijstraat,5611AV,5611AV,EINDHOVEN,11,100.0,100.0,45,3x25,23633,63.64,27.27
Endinet,871688700000002681,Vrijstraat,5611AW,5611AW,EINDHOVEN,23,100.0,100.0,57,3x25,18674,26.09,13.04
Endinet,871688700000002681,Maximahof,5611AX,5611AX,EINDHOVEN,77,100.0,100.0,99,1x35,1837,3.9,3.9
Endinet,871688700000002681,Emmasingel,5611AZ,5611AZ,EINDHOVEN,115,100.0,98.26,78,1x35,5523,9.57,5.22
Endinet,871688700000002681,Professor Dr Dorgelolaan,5611BA,5611BB,EINDHOVEN,52,100.0,98.08,98,3x25,2803,1.92,1.92
Endinet,871688700000002681,Stationsplein,5611BC,5611BC,EINDHOVEN,14,100.0,92.86,64,3x25,2823,21.43,21.43
Endinet,871688700000002681,Mathildelaan,5611BD,5611BD,EINDHOVEN,21,100.0,90.48,90,1x35,3244,95.24,90.48
Endinet,871688700000002681,Mathildelaan,5611BE,5611BE,EINDHOVEN,18,100.0,100.0,100,1x35,2723,88.89,88.89
Endinet,871688700000002681,Hoog Gagel,5611BG,5611BG,EINDHOVEN,41,92.68,100.0,90,1x35,4220,14.63,12.2
Endinet,871688700000002681,Gagelstraat,5611BH,5611BX,EINDHOVEN,44,100.0,100.0,77,1x35,6973,36.36,22.73
Endinet,871688700000002681,Stationsweg,5611BZ,5611BZ,EINDHOVEN,47,100.0,93.62,66,1x35,3066,6.38,4.26
Endinet,871688700000002681,Vestdijk ,5611CA,5611CA,EINDHOVEN,15,100.0,93.33,47,3x63,26967,53.33,26.67
Endinet,871688700000002681,Vestdijk,5611CB,5611CB,EINDHOVEN,41,100.0,100.0,61,1x35,2991,14.63,12.2
Endinet,871688700000002681,Vestdijk,5611CC,5611CC,EINDHOVEN,26,100.0,100.0,46,3x25,11077,11.54,3.85
Endinet,871688700000002681,Vestdijk,5611CE,5611CG,EINDHOVEN,104,100.0,100.0,70,1x35,3710,10.58,7.69
