net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Endinet,871688700000002681,Buizerd,5508KC,5508KC,VELDHOVEN,14,100.0,100.0,,1x35,3070.79,0.0,0.0
Endinet,871688700000002681,Hertgang,5508LC,5508LH,VELDHOVEN,12,100.0,100.0,,1x35,860.58,0.0,0.0
Endinet,871688700000002681,Hertgang,5508LR,5508LR,VELDHOVEN,28,100.0,100.0,,1x35,0.0,0.0,0.0
Endinet,871688700000002681,Hertgang,5508LR,5508RB,VELDHOVEN,10,90.0,90.0,,1x35,5010.8,0.0,0.0
Endinet,871688700000002681,Strijpsebaan,5508RB,5508RB,VELDHOVEN,26,100.0,100.0,,1x35,4233.58,0.0,0.0
Endinet,871688700000002681,Strijpsebaan,5508RB,5508RC,VELDHOVEN,28,100.0,100.0,,3x25,3506.32,7.14,0.0
Endinet,871688700000002681,Blauwven,5508RC,5508RC,VELDHOVEN,25,100.0,100.0,,1x35,3959.0,4.0,0.0
Endinet,871688700000002681,Blauwven,5508RC,5508RD,VELDHOVEN,28,100.0,96.43,,3x25,3685.21,0.0,0.0
Endinet,871688700000002681,Blauwven,5508RD,5508RD,VELDHOVEN,14,100.0,100.0,,1x35,3922.0,7.14,0.0
Endinet,871688700000002681,Blauwven,5508RD,5508RG,VELDHOVEN,17,94.12,100.0,,3x25,6290.35,5.88,0.0
Endinet,871688700000002681,Brugven,5508RG,5508RJ,VELDHOVEN,19,84.21,100.0,,3x25,5777.42,10.53,0.0
Endinet,871688700000002681,Lankven,5508RJ,5508RK,VELDHOVEN,55,98.18,100.0,,3x25,3179.3,0.0,0.0
Endinet,871688700000002681,Regenboogven,5508RK,5508RK,VELDHOVEN,10,100.0,100.0,,1x35,3209.0,10.0,0.0
Endinet,871688700000002681,Regenboogven,5508RK,5508RM,VELDHOVEN,16,81.25,100.0,,3x25,4445.94,6.25,0.0
Endinet,871688700000002681,Vlutterven,5508RM,5508RM,VELDHOVEN,21,100.0,100.0,,3x25,0.0,0.0,0.0
Endinet,871688700000002681,Vlutterven,5508RM,5508RN,VELDHOVEN,11,100.0,100.0,,3x25,3447.64,45.45,0.0
Endinet,871688700000002681,Zandven,5508RN,5508RP,VELDHOVEN,24,100.0,100.0,,3x35,4213.63,4.17,0.0
Endinet,871688700000002681,Keelweg,5508RP,5508SB,VELDHOVEN,34,100.0,100.0,,3x25,3206.24,0.0,0.0
Endinet,871688700000002681,Libel,5508SB,5508SB,VELDHOVEN,10,100.0,100.0,,3x25,0.0,0.0,0.0
Endinet,871688700000002681,Libel,5508SB,5508SC,VELDHOVEN,15,100.0,100.0,,3x35,2935.53,0.0,0.0
Endinet,871688700000002681,Libel,5508SC,5508SE,VELDHOVEN,12,100.0,100.0,,3x25,1778.75,0.0,0.0
Endinet,871688700000002681,Vlinder,5508SE,5508SG,VELDHOVEN,34,100.0,100.0,,1x35,2485.38,2.94,0.0
Endinet,871688700000002681,Eekhoorn,5508SG,5508SJ,VELDHOVEN,18,100.0,100.0,,3x25,2049.67,0.0,0.0
Endinet,871688700000002681,Ree,5508SJ,5508SK,VELDHOVEN,23,100.0,100.0,,3x25,2352.7,0.0,0.0
Endinet,871688700000002681,Haas,5508SK,5508SL,VELDHOVEN,16,100.0,100.0,,3x25,1787.13,0.0,0.0
Endinet,871688700000002681,Smelen,5508SL,5508SM,VELDHOVEN,24,100.0,100.0,,1x35,3409.76,25.0,0.0
Endinet,871688700000002681,Smelen,5508SM,5509RA,VELDHOVEN,11,100.0,100.0,,1x35,3289.09,0.0,0.0
Endinet,871688700000002681,Meerstraat,5509RA,5509RB,VELDHOVEN,36,100.0,100.0,,3x25,4135.56,0.0,0.0
Endinet,871688700000002681,Ree,5509RB,5509RC,VELDHOVEN,22,100.0,100.0,,1x35,3612.73,9.09,0.0
Endinet,871688700000002681,Ree,5509RC,5509RG,VELDHOVEN,20,100.0,100.0,,1x35,3918.8,5.0,0.0
Endinet,871688700000002681,Vos,5509RG,5509RG,VELDHOVEN,11,100.0,100.0,,3x25,0.0,0.0,0.0
Endinet,871688700000002681,Smelen,5509RK,5509RK,VELDHOVEN,20,95.0,100.0,,1x35,2320.55,0.0,0.0
