net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Endinet,871688700000002681,Buizerd,5508KC,5508KC,VELDHOVEN,14.0,100,100,64,1x35,3346,0,0
Endinet,871688700000002681,Hertgang,5508LC,5508LR,VELDHOVEN,43.0,100,100,93,1x35,2838,2,0
Endinet,871688700000002681,Strijpsebaan,5508RA,5508RB,VELDHOVEN,36.0,92,100,72,3x25,5607,19,14
Endinet,871688700000002681,Blauwven,5508RC,5508RC,VELDHOVEN,52.0,98,100,52,1x35,3977,8,4
Endinet,871688700000002681,Blauwven,5508RD,5508RD,VELDHOVEN,39.0,100,97,67,1x35,3910,8,3
Endinet,871688700000002681,Boomven,5508RE,5508RG,VELDHOVEN,17.0,76,100,94,3x25,6094,35,29
Endinet,871688700000002681,Hoefven,5508RH,5508RJ,VELDHOVEN,20.0,80,100,90,3x25,5719,30,25
Endinet,871688700000002681,Regenboogven,5508RK,5508RK,VELDHOVEN,64.0,98,100,84,1x35,3405,6,5
Endinet,871688700000002681,Turfven,5508RL,5508RM,VELDHOVEN,36.0,83,100,81,3x25,5443,19,17
Endinet,871688700000002681,Zandven,5508RN,5508RP,VELDHOVEN,30.0,97,100,70,3x25,5693,17,13
Endinet,871688700000002681,Libel,5508SB,5508SB,VELDHOVEN,44.0,100,100,75,1x35,3633,0,0
Endinet,871688700000002681,Libel,5508SC,5508SC,VELDHOVEN,15.0,93,100,53,3x25,3341,13,7
Endinet,871688700000002681,Vlinder,5508SE,5508SE,VELDHOVEN,19.0,100,100,63,1x35,3243,11,5
Endinet,871688700000002681,Eekhoorn,5508SG,5508SG,VELDHOVEN,27.0,100,100,96,1x35,1837,0,0
Endinet,871688700000002681,Ree,5508SJ,5508SJ,VELDHOVEN,22.0,100,100,77,1x35,2454,5,5
Endinet,871688700000002681,Haas,5508SK,5508SK,VELDHOVEN,19.0,100,100,84,1x35,3305,0,0
Endinet,871688700000002681,Smelen,5508SL,5508SL,VELDHOVEN,22.0,100,100,86,1x35,2623,32,5
Endinet,871688700000002681,Smelen,5508SM,5508SM,VELDHOVEN,18.0,100,100,83,1x35,3058,11,11
Endinet,871688700000002681,Meerstraat,5509RA,5509RA,VELDHOVEN,13.0,100,100,62,1x35,8688,0,0
Endinet,871688700000002681,Ree,5509RB,5509RB,VELDHOVEN,36.0,100,100,92,1x35,3283,8,8
Endinet,871688700000002681,Ree,5509RC,5509RC,VELDHOVEN,32.0,100,100,94,1x35,4024,50,50
Endinet,871688700000002681,Ree,5509RD,5509RD,VELDHOVEN,25.0,100,100,96,1x35,3960,100,100
Endinet,871688700000002681,Ree,5509RE,5509RG,VELDHOVEN,47.0,100,98,68,1x35,3897,38,38
Endinet,871688700000002681,Smelen,5509RK,5509RK,VELDHOVEN,30.0,97,100,83,1x35,3741,37,37
Endinet,871688700000002681,Smelen,5509RL,5509RL,VELDHOVEN,18.0,100,100,56,3x25,2985,0,0
Endinet,871688700000002681,Egel,5509RM,5509RM,VELDHOVEN,15.0,93,93,67,3x25,6563,93,87
Endinet,871688700000002681,Sterrenlaan,5531KA,5611AB,EINDHOVEN,17.0,100,76,47,3x25,15725,53,12
