net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Endinet,8.716887000000027e+17,Buizerd,5508KC,5508KC,VELDHOVEN,14,100.0,100.0,,1x35,3945.93,0.0,0.0
Endinet,8.716887000000027e+17,Hertgang,5508LC,5508LH,VELDHOVEN,12,100.0,100.0,,1x35,608.42,0.0,0.0
Endinet,8.716887000000027e+17,Hertgang,5508LR,5508LR,VELDHOVEN,28,100.0,100.0,,1x35,0.0,0.0,0.0
Endinet,8.716887000000027e+17,Hertgang,5508LR,5508RB,VELDHOVEN,10,90.0,90.0,,1x35,5236.3,0.0,0.0
Endinet,8.716887000000027e+17,Strijpsebaan,5508RB,5508RB,VELDHOVEN,27,100.0,100.0,,1x35,4138.56,0.0,0.0
Endinet,8.716887000000027e+17,Strijpsebaan,5508RB,5508RC,VELDHOVEN,27,100.0,100.0,,3x25,3582.81,3.7,0.0
Endinet,8.716887000000027e+17,Blauwven,5508RC,5508RC,VELDHOVEN,25,100.0,100.0,,1x35,4145.68,4.0,0.0
Endinet,8.716887000000027e+17,Blauwven,5508RC,5508RD,VELDHOVEN,29,100.0,96.55,,3x35,5037.14,3.45,0.0
Endinet,8.716887000000027e+17,Blauwven,5508RD,5508RD,VELDHOVEN,13,100.0,100.0,,1x35,3614.69,0.0,0.0
Endinet,8.716887000000027e+17,Blauwven,5508RD,5508RG,VELDHOVEN,17,94.12,100.0,,3x25,6454.47,5.88,0.0
Endinet,8.716887000000027e+17,Brugven,5508RG,5508RJ,VELDHOVEN,19,84.21,100.0,,3x25,6347.16,5.26,0.0
Endinet,8.716887000000027e+17,Lankven,5508RJ,5508RK,VELDHOVEN,56,98.21,100.0,,3x25,2954.1,1.79,0.0
Endinet,8.716887000000027e+17,Regenboogven,5508RK,5508RK,VELDHOVEN,10,100.0,100.0,,1x35,3629.0,10.0,0.0
Endinet,8.716887000000027e+17,Turfven,5508RL,5508RM,VELDHOVEN,16,81.25,100.0,,3x25,5057.38,6.25,0.0
Endinet,8.716887000000027e+17,Vlutterven,5508RM,5508RM,VELDHOVEN,21,100.0,100.0,,3x25,0.0,0.0,0.0
Endinet,8.716887000000027e+17,Zandven,5508RN,5508RN,VELDHOVEN,10,100.0,50.0,,1x35,2059.2,0.0,0.0
Endinet,8.716887000000027e+17,Zandven,5508RN,5508RP,VELDHOVEN,25,100.0,100.0,,3x35,3098.44,8.0,0.0
Endinet,8.716887000000027e+17,Libel,5508SB,5508SB,VELDHOVEN,33,100.0,100.0,,1x35,0.0,0.0,0.0
Endinet,8.716887000000027e+17,Libel,5508SB,5508SB,VELDHOVEN,10,100.0,100.0,,3x25,0.0,0.0,0.0
Endinet,8.716887000000027e+17,Libel,5508SB,5508SC,VELDHOVEN,15,100.0,100.0,,3x35,3823.27,0.0,0.0
Endinet,8.716887000000027e+17,Libel,5508SC,5508SE,VELDHOVEN,12,100.0,100.0,,3x25,1622.75,0.0,0.0
Endinet,8.716887000000027e+17,Vlinder,5508SE,5508SG,VELDHOVEN,33,100.0,100.0,,1x35,2230.63,0.0,0.0
Endinet,8.716887000000027e+17,Eekhoorn,5508SG,5508SJ,VELDHOVEN,18,100.0,100.0,,3x25,2215.28,0.0,0.0
Endinet,8.716887000000027e+17,Ree,5508SJ,5508SK,VELDHOVEN,23,100.0,100.0,,3x25,2941.96,0.0,0.0
Endinet,8.716887000000027e+17,Haas,5508SK,5508SL,VELDHOVEN,17,100.0,100.0,,3x25,562.34,0.0,0.0
Endinet,8.716887000000027e+17,Smelen,5508SL,5508SM,VELDHOVEN,24,100.0,100.0,,1x35,4103.88,25.0,0.0
Endinet,8.716887000000027e+17,Smelen,5508SM,5509RA,VELDHOVEN,11,100.0,100.0,,3x25,4320.64,0.0,0.0
Endinet,8.716887000000027e+17,Meerstraat,5509RA,5509RB,VELDHOVEN,39,100.0,100.0,,3x25,4158.46,5.13,0.0
Endinet,8.716887000000027e+17,Ree,5509RB,5509RC,VELDHOVEN,20,100.0,100.0,,3x25,2844.8,5.0,0.0
Endinet,8.716887000000027e+17,Ree,5509RC,5509RG,VELDHOVEN,19,100.0,100.0,,3x25,3970.47,0.0,0.0
Endinet,8.716887000000027e+17,Vos,5509RG,5509RG,VELDHOVEN,11,100.0,100.0,,3x25,0.0,0.0,0.0
Endinet,8.716887000000027e+17,Smelen,5509RK,5509RK,VELDHOVEN,20,95.0,100.0,,1x35,2124.15,0.0,0.0
Endinet,8.716887000000027e+17,Smelen,5509RL,5509RL,VELDHOVEN,18,100.0,100.0,,1x35,1956.33,0.0,0.0
Endinet,8.716887000000027e+17,Egel,5509RM,5611AA,VELDHOVEN,13,100.0,92.31,,3x25,1597.27,7.69,0.0
Endinet,8.716887000000027e+17,Stationsweg,5611AA,5611AB,EINDHOVEN,10,100.0,100.0,,3x35,5840.6,10.0,0.0
Endinet,8.716887000000027e+17,Stationsplein,5611AB,5611AC,EINDHOVEN,17,100.0,82.35,,3x35,10572.31,11.76,0.0
Endinet,8.716887000000027e+17,Stationsplein,5611AC,5611AD,EINDHOVEN,10,100.0,70.0,,3x25,19453.7,20.0,0.0
Endinet,8.716887000000027e+17,Neckerspoel,5611AD,5611AD,EINDHOVEN,10,100.0,100.0,,1x35,12634.3,10.0,0.0
Endinet,8.716887000000027e+17,Neckerspoel,5611AD,5611AE,EINDHOVEN,13,100.0,84.62,,3x63,3894.69,7.69,0.0
Endinet,8.716887000000027e+17,Piazza,5611AE,5611AH,EINDHOVEN,12,100.0,75.0,,3x63,7779.42,25.0,0.0
Endinet,8.716887000000027e+17,Hermanus Boexstraat,5611AH,5611AJ,EINDHOVEN,10,100.0,100.0,,3x25,14256.5,0.0,0.0
Endinet,8.716887000000027e+17,Hermanus Boexstraat,5611AJ,5611AJ,EINDHOVEN,10,100.0,100.0,,3x35,30902.7,0.0,0.0
Endinet,8.716887000000027e+17,Hermanus Boexstraat,5611AJ,5611AK,EINDHOVEN,13,100.0,92.31,,3x63,1896.62,0.0,0.0
Endinet,8.716887000000027e+17,Hermanus Boexstraat,5611AK,5611AL,EINDHOVEN,10,100.0,60.0,,3x25,11244.4,10.0,0.0
Endinet,8.716887000000027e+17,18 Septemberplein,5611AL,5611AL,EINDHOVEN,13,100.0,100.0,,3x50,21969.65,0.0,0.0
Endinet,8.716887000000027e+17,18 Septemberplein,5611AL,5611AL,EINDHOVEN,10,100.0,100.0,,3x63,0.0,0.0,0.0
Endinet,8.716887000000027e+17,18 Septemberplein,5611AL,5611AM,EINDHOVEN,12,100.0,41.67,,3x25,3767.75,16.67,0.0
Endinet,8.716887000000027e+17,Nieuwe Emmasingel,5611AM,5611AM,EINDHOVEN,38,100.0,100.0,,1x35,3187.92,0.0,0.0
Endinet,8.716887000000027e+17,Nieuwe Emmasingel,5611AM,5611AM,EINDHOVEN,29,100.0,100.0,,3x35,22639.41,0.0,0.0
Endinet,8.716887000000027e+17,Nieuwe Emmasingel,5611AM,5611AN,EINDHOVEN,11,100.0,63.64,,3x63,31609.73,18.18,0.0
Endinet,8.716887000000027e+17,Demer,5611AN,5611AP,EINDHOVEN,10,100.0,100.0,,3x63,42480.1,30.0,0.0
Endinet,8.716887000000027e+17,Demer,5611AP,5611AR,EINDHOVEN,12,100.0,91.67,,3x80,24925.5,0.0,0.0
Endinet,8.716887000000027e+17,Demer,5611AR,5611AS,EINDHOVEN,10,100.0,90.0,,3x63,19543.2,30.0,0.0
Endinet,8.716887000000027e+17,Demer,5611AS,5611AT,EINDHOVEN,11,100.0,100.0,,3x50,36578.45,36.36,0.0
Endinet,8.716887000000027e+17,Vrijstraat,5611AT,5611AV,EINDHOVEN,10,100.0,100.0,,3x35,21853.7,40.0,0.0
Endinet,8.716887000000027e+17,Vrijstraat,5611AV,5611AW,EINDHOVEN,19,100.0,100.0,,3x35,9532.21,5.26,0.0
Endinet,8.716887000000027e+17,Vrijstraat,5611AW,5611AX,EINDHOVEN,84,100.0,100.0,,3x35,3766.45,1.19,0.0
Endinet,8.716887000000027e+17,Maximahof,5611AX,5611AZ,EINDHOVEN,100,100.0,99.0,,3x80,3033.44,0.0,0.0
Endinet,8.716887000000027e+17,Emmasingel,5611AZ,5611AZ,EINDHOVEN,13,100.0,100.0,,3x25,0.0,0.0,0.0
Endinet,8.716887000000027e+17,Emmasingel,5611AZ,5611AZ,EINDHOVEN,10,100.0,100.0,,3x25,19192.7,20.0,0.0
Endinet,8.716887000000027e+17,Professor Dr Dorgelolaan,5611BA,5611BB,EINDHOVEN,54,100.0,100.0,,1x35,3049.63,0.0,0.0
Endinet,8.716887000000027e+17,Stationsplein,5611BB,5611BC,EINDHOVEN,14,100.0,92.86,,3x25,5854.11,0.0,0.0
Endinet,8.716887000000027e+17,Stationsplein,5611BC,5611BD,EINDHOVEN,20,100.0,10.0,,3x50,1603.05,10.0,0.0
Endinet,8.716887000000027e+17,Mathildelaan,5611BD,5611BD,EINDHOVEN,17,100.0,88.24,,1x35,1727.17,0.0,0.0
Endinet,8.716887000000027e+17,Mathildelaan,5611BD,5611BE,EINDHOVEN,11,100.0,54.55,,1x35,1866.73,0.0,0.0
Endinet,8.716887000000027e+17,Mathildelaan,5611BE,5611BE,EINDHOVEN,11,100.0,90.91,,1x35,181.82,0.0,0.0
Endinet,8.716887000000027e+17,Mathildelaan,5611BE,5611BG,EINDHOVEN,11,81.82,90.91,,1x35,2076.09,27.27,0.0
Endinet,8.716887000000027e+17,Hoog Gagel,5611BG,5611BG,EINDHOVEN,33,100.0,100.0,,1x35,0.0,0.0,0.0
Endinet,8.716887000000027e+17,Hoog Gagel,5611BG,5611BH,EINDHOVEN,10,100.0,100.0,,3x35,3368.4,0.0,0.0
Endinet,8.716887000000027e+17,Gagelstraat,5611BH,5611BK,EINDHOVEN,10,100.0,80.0,,1x35,6890.5,20.0,0.0
Endinet,8.716887000000027e+17,Mathildelaan,5611BL,5611BL,EINDHOVEN,10,100.0,90.0,,1x25,19598.0,20.0,0.0
Endinet,8.716887000000027e+17,Stationsweg,5611BX,5611BX,EINDHOVEN,28,100.0,100.0,,1x35,2146.64,3.57,0.0
Endinet,8.716887000000027e+17,Stationsweg,5611BX,5611BZ,EINDHOVEN,35,100.0,100.0,,3x35,3992.8,8.57,0.0
Endinet,8.716887000000027e+17,Stationsweg,5611BZ,5611BZ,EINDHOVEN,14,100.0,100.0,,1x35,2031.71,0.0,0.0
Endinet,8.716887000000027e+17,Stationsweg,5611BZ,5611CA,EINDHOVEN,10,100.0,40.0,,3x35,5805.1,50.0,0.0
Endinet,8.716887000000027e+17,Vestdijk,5611CA,5611CA,EINDHOVEN,10,100.0,100.0,,3x35,43246.5,50.0,0.0
Endinet,8.716887000000027e+17,Vestdijk,5611CA,5611CB,EINDHOVEN,28,100.0,92.86,,3x25,2157.96,0.0,0.0
Endinet,8.716887000000027e+17,Vestdijk,5611CB,5611CB,EINDHOVEN,14,100.0,100.0,,1x35,7250.29,0.0,0.0
Endinet,8.716887000000027e+17,Vestdijk,5611CB,5611CC,EINDHOVEN,13,100.0,100.0,,3x50,2960.5,0.0,0.0
Endinet,8.716887000000027e+17,Vestdijk,5611CC,5611CC,EINDHOVEN,12,100.0,100.0,,3x25,0.0,0.0,0.0
Endinet,8.716887000000027e+17,Vestdijk,5611CC,5611CG,EINDHOVEN,81,100.0,100.0,,3x25,4040.43,2.47,0.0
Endinet,8.716887000000027e+17,Mignot en de Blockplein,5611CG,5611CG,EINDHOVEN,25,100.0,100.0,,1x35,3139.2,4.0,0.0
Endinet,8.716887000000027e+17,Mignot en de Blockplein,5611CG,5611CH,EINDHOVEN,21,100.0,100.0,,3x25,11775.44,9.52,0.0
Endinet,8.716887000000027e+17,Raiffeisenstraat,5611CH,5611CJ,EINDHOVEN,20,100.0,90.0,,3x63,7796.1,5.0,0.0
Endinet,8.716887000000027e+17,Dommelstraat,5611CJ,5611CJ,EINDHOVEN,10,100.0,100.0,,3x25,17581.8,0.0,0.0
Endinet,8.716887000000027e+17,Dommelstraat,5611CJ,5611CK,EINDHOVEN,19,94.74,100.0,,3x63,18766.33,21.05,0.0
Endinet,8.716887000000027e+17,Dommelstraat,5611CK,5611CL,EINDHOVEN,10,100.0,100.0,,3x25,24365.9,40.0,0.0
Endinet,8.716887000000027e+17,Dommelstraat,5611CL,5611CL,EINDHOVEN,11,100.0,100.0,,1x35,1751.02,0.0,0.0
Endinet,8.716887000000027e+17,Dommelstraat,5611CL,5611CM,EINDHOVEN,39,97.44,100.0,,3x35,12982.95,10.26,0.0
Endinet,8.716887000000027e+17,Tramstraat,5611CM,5611CN,EINDHOVEN,10,100.0,100.0,,1x35,5641.9,20.0,0.0
